id;species;test_date;test_time;test_order;video_box;camera;ISO;Exposure;observer;sociality_barred_id;sociality_black_id;capture_date;release_date;location;depth_feet;home_tank;tank_mate_id;home_tank_combination;SDL_cm;Distance_moved_cm;Velocity_cm.s;In_zone_Frequency;In_zone_cum_duration;In_zone_latency;Acceleration_min_cm.s2;Acceleration_max_cm.s2;vid_id;Distance_per_body_length;Velocity_body_length.s;escape_video_scored;escape_response_trial;starting_position;duration;quadrants;speed;reaction;swimming_behaviour;total.time.at.barred.stimulus;total.time.at.black.stimulus;total.time.at.rock;time.at.barred.stimulus.Trial.1;time.at.black.stimulus.Trial.1;time.at.rock.Trial.1;time.at.barred.stimulus.Trial.2;time.at.black.stimulus.Trial.2;time.at.rock.Trial.2
BD22-041;barred;17.10.2022;14:54:00;OFT_ESC_SOC;left_box;0A4F;1800;1;MH;BD22-033;BD22-029;15.10.2022;18.10.2022;Solarte_A_Slope;15 to 25;3;BD22-042;barred_barred;7,73;4586,4;8,49308;1;540,049;0;-898,268;975,925;E:\test_videos\OFT\vids_cut\041_OFT.mov-cut.mov;593,3247089;1,098716688;Mel;1;close_side;0,76;3;0,253333333;to_curtain_exclude;stationary;252;154;42;194;58;42;58;96;0
BD22-041;barred;17.10.2022;14:54:00;OFT_ESC_SOC;left_box;0A4F;1800;1;MH;BD22-033;BD22-029;15.10.2022;18.10.2022;Solarte_A_Slope;15 to 25;3;BD22-042;barred_barred;7,73;4586,4;8,49308;1;540,049;0;-898,268;975,925;E:\test_videos\OFT\vids_cut\041_OFT.mov-cut.mov;593,3247089;1,098716688;Mel;2;middle;0,64;3;0,213333333;to_hand_include;stationary;252;154;42;194;58;42;58;96;0
BD22-041;barred;17.10.2022;14:54:00;OFT_ESC_SOC;left_box;0A4F;1800;1;MH;BD22-033;BD22-029;15.10.2022;18.10.2022;Solarte_A_Slope;15 to 25;3;BD22-042;barred_barred;7,73;4586,4;8,49308;1;540,049;0;-898,268;975,925;E:\test_videos\OFT\vids_cut\041_OFT.mov-cut.mov;593,3247089;1,098716688;Mel;3;close_side;0,6;3;0,2;to_hand_include;stationary;252;154;42;194;58;42;58;96;0
BD22-041;barred;17.10.2022;14:54:00;OFT_ESC_SOC;left_box;0A4F;1800;1;MH;BD22-033;BD22-029;15.10.2022;18.10.2022;Solarte_A_Slope;15 to 25;3;BD22-042;barred_barred;7,73;4586,4;8,49308;1;540,049;0;-898,268;975,925;E:\test_videos\OFT\vids_cut\041_OFT.mov-cut.mov;593,3247089;1,098716688;Mel;4;far_side;0,64;2;0,32;to_hand_include;stationary;252;154;42;194;58;42;58;96;0
BD22-042;barred;17.10.2022;14:58:00;OFT_ESC_SOC;right_box;7607;1800;1;MH;BD22-028;BD22-024;15.10.2022;18.10.2022;Solarte_A_Slope;15 to 25;3;BD22-041;barred_barred;7,25;436,012;0,807406;1;540,049;0;-678,701;678,701;E:\test_videos\OFT\vids_cut\042_OFT.mp4-cut.mov;60,13958621;0,111366345;Marco;4;far_side;0,7;2;0,4;to_hand_include;stationary;268;218;0;268;218;0;NA;NA;NA
BD22-042;barred;17.10.2022;14:58:00;OFT_ESC_SOC;right_box;7607;1800;1;MH;BD22-028;BD22-024;15.10.2022;18.10.2022;Solarte_A_Slope;15 to 25;3;BD22-041;barred_barred;7,25;436,012;0,807406;1;540,049;0;-678,701;678,701;E:\test_videos\OFT\vids_cut\042_OFT.mp4-cut.mov;60,13958621;0,111366345;Marco;2;middle;1,6;4;0,325;to_curtain_exclude;stationary;268;218;0;268;218;0;NA;NA;NA
BD22-042;barred;17.10.2022;14:58:00;OFT_ESC_SOC;right_box;7607;1800;1;MH;BD22-028;BD22-024;15.10.2022;18.10.2022;Solarte_A_Slope;15 to 25;3;BD22-041;barred_barred;7,25;436,012;0,807406;1;540,049;0;-678,701;678,701;E:\test_videos\OFT\vids_cut\042_OFT.mp4-cut.mov;60,13958621;0,111366345;Marco;1;close_side;1,3;4;0,333333333;to_hand_include;stationary;268;218;0;268;218;0;NA;NA;NA
BD22-042;barred;17.10.2022;14:58:00;OFT_ESC_SOC;right_box;7607;1800;1;MH;BD22-028;BD22-024;15.10.2022;18.10.2022;Solarte_A_Slope;15 to 25;3;BD22-041;barred_barred;7,25;436,012;0,807406;1;540,049;0;-678,701;678,701;E:\test_videos\OFT\vids_cut\042_OFT.mp4-cut.mov;60,13958621;0,111366345;Marco;3;far_side;1;3;0,35;to_hand_include;stationary;268;218;0;268;218;0;NA;NA;NA
BD22-043;black;17.10.2022;15:48:00;OFT_ESC_SOC;right_box;7607;1800;1;MH;BD22-028;BD22-024;15.10.2022;21.10.2022;Solarte_A_Slope;25;4;BD22-044;black_barred;6,43;601,707;1,11424;1;540,049;0;-877,75;896,185;E:\test_videos\OFT\vids_cut\043_OFT.MP4-cut.mov;93,57807154;0,173287714;Marco;1;middle;0,5;2;0,25;to_hand_include;stationary;2;0;2;2;0;2;0;0;0
BD22-043;black;17.10.2022;15:48:00;OFT_ESC_SOC;right_box;7607;1800;1;MH;BD22-028;BD22-024;15.10.2022;21.10.2022;Solarte_A_Slope;25;4;BD22-044;black_barred;6,43;601,707;1,11424;1;540,049;0;-877,75;896,185;E:\test_videos\OFT\vids_cut\043_OFT.MP4-cut.mov;93,57807154;0,173287714;Marco;2;far_side;1,5;3;0,5;to_hand_include;stationary;2;0;2;2;0;2;0;0;0
