"id";"species";"test_date";"test_time";"test_order";"fin_clip";"video_box";"camera";"ISO";"Exposure";"observer";"sociality_barred_id";"sociality_black_id";"capture_date";"release_date";"location";"depth_feet";"home_tank";"tank_mate_id";"home_tank_combination";"SDL_cm";"remarks_home";"remarks_test";"trial";"Distance_moved_cm";"Velocity_cm.s";"In_zone_Frequency";"In_zone_cum_duration";"In_zone_latency";"Acceleration_min_cm.s2";"Acceleration_max_cm.s2";"vid_id";"Distance_per_body_length";"Velocity_body_length.s"
"BD22-035";"black";"17.10.2022";"12:28:00";"OFT_SOC_ESC";"bottom";"L";"0A4F";1800;1;"MH";"BD22-033";"BD22-029";"15.10.2022";"18.10.2022";"Solarte_A_Slope";"25";"1";"BD22-036";"black_black";6,82;"";"";"Trial     1";6174,41;11,4338;1;540,049;0;-899,178;980,39;"E:\test_videos\OFT\vids_cut\035_OFT.mov-cut.mov";905,338709677419;1,67651026392962
"BD22-036";"black";"17.10.2022";"12:32:00";"OFT_SOC_ESC";"top";"R";"7607";1800;1;"MH";"BD22-028";"BD22-024";"15.10.2022";"18.10.2022";"Solarte_A_Slope";"25";"1";"BD22-035";"black_black";6,45;"";"";"Trial     2";1486,16;2,75201;1;540,061;0;-886,029;998,508;"E:\test_videos\OFT\vids_cut\036_OFT.MP4-cut.mov";230,412403100775;0,426668217054264
"BD22-037";"barred";"17.10.2022";"11:22:00";"OFT_SOC_ESC";"bottom";"L";"0A4F";1800;1;"JG";"BD22-033";"BD22-029";"15.10.2022";"18.10.2022";"Solarte_A_Slope";"15-25";"H2";"BD22-038";"barred_barred";7,34;"";"";"Trial     3";39,0658;0,0723421;1;540,049;0;-495,997;495,997;"E:\test_videos\OFT\vids_cut\037_OFT.mov-cut.mov";5,32231607629428;0,00985587193460491
"BD22-038";"barred";"17.10.2022";"11:26:00";"OFT_SOC_ESC";"top";"R";"7607";1800;1;"JG";"BD22-028";"BD22-024";"15.10.2022";"18.10.2022";"Solarte_A_Slope";"15-25";"H2";"BD22-037";"barred_barred";7,91;"net needed";"";"Trial     4";1728,18;3,20024;1;540,049;0;-895,906;947,092;"E:\test_videos\OFT\vids_cut\038_OFT.MP4-cut.mov";218,480404551201;0,404581542351454
"BD22-039";"barred";"17.10.2022";"13:55:00";"OFT_SOC_ESC";"bottom";"R";"7607";1800;1;"MH";"BD22-028";"BD22-024";"15.10.2022";"21.10.2022";"Solarte_A_Slope";"15-25";"2";"BD22-040";"black_barred";6,39;"";"";"Trial     5";4572,43;8,60043;2;531,818;0;-900,321;957,169;"E:\test_videos\OFT\vids_cut\039_OFT.MP4-cut.mov";715,560250391236;1,34592018779343
"BD22-040";"black";"17.10.2022";"13:51:00";"OFT_SOC_ESC";"bottom";"L";"0A4F";1800;1;"MH";"BD22-033";"BD22-029";"15.10.2022";"18.10.2022";"Solarte_A_Slope";"25";"2";"BD22-039";"black_barred";6,23;"didnt record sociability, ran it two times";"";"Trial     6";862,1;1,59644;1;540,049;0;-880,109;889,93;"E:\test_videos\OFT\vids_cut\040_OFT.mov-cut.mov";138,378812199037;0,256250401284109
"BD22-041";"barred";"17.10.2022";"14:54:00";"OFT_ESC_SOC";"top";"L";"0A4F";1800;1;"MH";"BD22-033";"BD22-029";"15.10.2022";"18.10.2022";"Solarte_A_Slope";"15-25";"3";"BD22-042";"barred_barred";7,73;"";"";"Trial     7";4586,4;8,49308;1;540,049;0;-898,268;975,925;"E:\test_videos\OFT\vids_cut\041_OFT.mov-cut.mov";593,324708926261;1,09871668822768
"BD22-042";"barred";"17.10.2022";"14:58:00";"OFT_ESC_SOC";"bottom";"R";"7607";1800;1;"MH";"BD22-028";"BD22-024";"15.10.2022";"18.10.2022";"Solarte_A_Slope";"15-25";"3";"BD22-041";"barred_barred";7,25;"";"";"Trial     8";436,012;0,807406;1;540,049;0;-678,701;678,701;"E:\test_videos\OFT\vids_cut\042_OFT.mp4-cut.mov";60,1395862068966;0,111366344827586
"BD22-043";"black";"17.10.2022";"15:48:00";"OFT_ESC_SOC";"top";"R";"7607";1800;1;"MH";"BD22-028";"BD22-024";"15.10.2022";"21.10.2022";"Solarte_A_Slope";"25";"4";"BD22-044";"black_barred";6,43;"";"";"Trial     9";601,707;1,11424;1;540,049;0;-877,75;896,185;"E:\test_videos\OFT\vids_cut\043_OFT.MP4-cut.mov";93,5780715396579;0,173287713841369
"BD22-044";"barred";"17.10.2022";"15:44:00";"OFT_ESC_SOC";"top";"L";"0A4F";1800;1;"MH";"BD22-033";"BD22-029";"15.10.2022";"18.10.2022";"Solarte_A_Slope";"15-25";"4";"BD22-043";"black_barred";6,28;"";"";"Trial    10";12404,3;22,9702;1;540,049;0;-896,138;957,775;"E:\test_videos\OFT\vids_cut\044_OFT.mov-cut.mov";1975,20700636943;3,65767515923567
