id;species;date;trial;duration;quadrants;observer;Round
BD22_110;black;02.11.2022;1;2,2;4;MGS;1
BD22_110;black;02.11.2022;2;0,8;2;MGS;1
BD22_110;black;02.11.2022;3;0,3;2;MGS;1
BD22_110;black;02.11.2022;4;0,5;2;MGS;1
BD_22_117;black;02.11.2022;1;0,5;3;MGS;1
BD_22_117;black;02.11.2022;2;0,8;2;MGS;1
BD_22_117;black;02.11.2022;3;0,7;3;MGS;1
BD_22_117;black;02.11.2022;4;1,2;2;MGS;1
BD_22_142;black;09.11.2022;1;0,7;2;MGS;1
BD_22_142;black;09.11.2022;2;1;3;MGS;1
BD_22_142;black;09.11.2022;3;1,4;2;MGS;1
BD_22_142;black;09.11.2022;4;2;3;MGS;1
BD_22_135;barred;09.11.2022;1;0,9;4;MGS;1
BD_22_135;barred;09.11.2022;2;1,1;3;MGS;1
BD_22_135;barred;09.11.2022;3;1,7;4;MGS;1
BD_22_135;barred;09.11.2022;4;1;2;MGS;1
BD_22_140;barred;09.11.2022;1;0,9;3;MGS;1
BD_22_140;barred;09.11.2022;2;2;3;MGS;1
BD_22_140;barred;09.11.2022;3;1,2;2;MGS;1
BD_22_140;barred;09.11.2022;4;1,9;3;MGS;1
BD_22_054;black;20.10.2022;1;1;2;MGS;1
BD_22_054;black;20.10.2022;2;1,2;3;MGS;1
BD_22_054;black;20.10.2022;3;0,9;2;MGS;1
BD_22_054;black;20.10.2022;4;0,9;2;MGS;1
BD_22_060;barred;20.10.2022;1;1,1;5;MGS;1
BD_22_060;barred;20.10.2022;2;0,7;2;MGS;1
BD_22_060;barred;20.10.2022;3;1,8;5;MGS;1
BD_22_060;barred;20.10.2022;4;1,8;3;MGS;1
BD22_110;black;02.11.2022;1;2,20;3;MJH;1
BD22_110;black;02.11.2022;2;1,00;4;MJH;1
BD22_110;black;02.11.2022;3;0,50;2;MJH;1
BD22_110;black;02.11.2022;4;0,70;2;MJH;1
BD_22_117;black;02.11.2022;1;1,00;3;MJH;1
BD_22_117;black;02.11.2022;2;1,20;2;MJH;1
BD_22_117;black;02.11.2022;3;0,80;2;MJH;1
BD_22_117;black;02.11.2022;4;1,20;2;MJH;1
BD_22_142;black;09.11.2022;1;0,80;2;MJH;1
BD_22_142;black;09.11.2022;2;1,10;3;MJH;1
BD_22_142;black;09.11.2022;3;1,40;2;MJH;1
BD_22_142;black;09.11.2022;4;1,80;3;MJH;1
BD_22_135;barred;09.11.2022;1;0,80;4;MJH;1
BD_22_135;barred;09.11.2022;2;0,70;3;MJH;1
BD_22_135;barred;09.11.2022;3;1,60;5;MJH;1
BD_22_135;barred;09.11.2022;4;0,70;2;MJH;1
BD_22_140;barred;09.11.2022;1;0,80;3;MJH;1
BD_22_140;barred;09.11.2022;2;1,90;3;MJH;1
BD_22_140;barred;09.11.2022;3;1,00;2;MJH;1
BD_22_140;barred;09.11.2022;4;1,70;3;MJH;1
BD_22_054;black;20.10.2022;1;0,80;2;MJH;1
BD_22_054;black;20.10.2022;2;1,20;3;MJH;1
BD_22_054;black;20.10.2022;3;0,80;2;MJH;1
BD_22_054;black;20.10.2022;4;0,70;2;MJH;1
BD_22_060;barred;20.10.2022;1;1,10;4;MJH;1
BD_22_060;barred;20.10.2022;2;0,70;2;MJH;1
BD_22_060;barred;20.10.2022;3;1,70;4;MJH;1
BD_22_060;barred;20.10.2022;4;1,70;3;MJH;1
BD22_110;black;02.11.2022;1;2,2;3;JRG;1
BD22_110;black;02.11.2022;2;0,8;2;JRG;1
BD22_110;black;02.11.2022;3;0,3;2;JRG;1
BD22_110;black;02.11.2022;4;0,6;2;JRG;1
BD_22_117;black;02.11.2022;1;0,6;3;JRG;1
BD_22_117;black;02.11.2022;2;0,7;2;JRG;1
BD_22_117;black;02.11.2022;3;0,6;2;JRG;1
BD_22_117;black;02.11.2022;4;1,4;2;JRG;1
BD_22_142;black;09.11.2022;1;0,6;2;JRG;1
BD_22_142;black;09.11.2022;2;0,8;2;JRG;1
BD_22_142;black;09.11.2022;3;1,4;2;JRG;1
BD_22_142;black;09.11.2022;4;1,7;3;JRG;1
BD_22_135;barred;09.11.2022;1;0,8;4;JRG;1
BD_22_135;barred;09.11.2022;2;0,8;3;JRG;1
BD_22_135;barred;09.11.2022;3;1,5;5;JRG;1
BD_22_135;barred;09.11.2022;4;0,7;2;JRG;1
BD_22_140;barred;09.11.2022;1;0,7;3;JRG;1
BD_22_140;barred;09.11.2022;2;2;3;JRG;1
BD_22_140;barred;09.11.2022;3;0,8;2;JRG;1
BD_22_140;barred;09.11.2022;4;1,6;3;JRG;1
BD_22_054;black;20.10.2022;1;0,6;2;JRG;1
BD_22_054;black;20.10.2022;2;1,1;3;JRG;1
BD_22_054;black;20.10.2022;3;0,8;2;JRG;1
BD_22_054;black;20.10.2022;4;0,5;2;JRG;1
BD_22_060;barred;20.10.2022;1;1,1;5;JRG;1
BD_22_060;barred;20.10.2022;2;0,5;2;JRG;1
BD_22_060;barred;20.10.2022;3;1,6;4;JRG;1
BD_22_060;barred;20.10.2022;4;0,6;3;JRG;1
BD22_068;black;23.10.2022;1;0,7;2;MGS;2
BD22_068;black;23.10.2022;2;1;3;MGS;2
BD22_068;black;23.10.2022;3;0,8;2;MGS;2
BD22_068;black;23.10.2022;4;0,9;2;MGS;2
BD22_071;barred;23.10.2022;1;0,8;2;MGS;2
BD22_071;barred;23.10.2022;2;1;4;MGS;2
BD22_071;barred;23.10.2022;3;1;2;MGS;2
BD22_071;barred;23.10.2022;4;0,7;2;MGS;2
BD22_072;barred;23.10.2022;1;0,7;2;MGS;2
BD22_072;barred;23.10.2022;2;1,1;3;MGS;2
BD22_072;barred;23.10.2022;3;0,6;2;MGS;2
BD22_072;barred;23.10.2022;4;0,5;2;MGS;2
BD22_122;barred;05.11.2022;1;NA;NA;MGS;2
BD22_122;barred;05.11.2022;2;0,6;2;MGS;2
BD22_122;barred;05.11.2022;3;NA;NA;MGS;2
BD22_122;barred;05.11.2022;4;0,5;2;MGS;2
BD22_130;black;05.11.2022;1;0,3;2;MGS;2
BD22_130;black;05.11.2022;2;0,3;2;MGS;2
BD22_130;black;05.11.2022;3;0,8;2;MGS;2
BD22_130;black;05.11.2022;4;0,4;1;MGS;2
BD22_068;black;23.10.2022;1;0,66;1;JRG;2
BD22_068;black;23.10.2022;2;0,69;3;JRG;2
BD22_068;black;23.10.2022;3;0,57;2;JRG;2
BD22_068;black;23.10.2022;4;0,81;2;JRG;2
BD22_071;barred;23.10.2022;1;0,69;2;JRG;2
BD22_071;barred;23.10.2022;2;0,87;3;JRG;2
BD22_071;barred;23.10.2022;3;1,54;2;JRG;2
BD22_071;barred;23.10.2022;4;0,75;2;JRG;2
BD22_072;barred;23.10.2022;1;3,45;5;JRG;2
BD22_072;barred;23.10.2022;2;3,09;6;JRG;2
BD22_072;barred;23.10.2022;3;2,63;6;JRG;2
BD22_072;barred;23.10.2022;4;1,27;2;JRG;2
BD22_122;barred;05.11.2022;1;0,54;3;JRG;2
BD22_122;barred;05.11.2022;2;1,36;3;JRG;2
BD22_122;barred;05.11.2022;3;NA;NA;JRG;2
BD22_122;barred;05.11.2022;4;0,75;3;JRG;2
BD22_130;black;05.11.2022;1;0,3;2;JRG;2
BD22_130;black;05.11.2022;2;0,39;2;JRG;2
BD22_130;black;05.11.2022;3;0,75;2;JRG;2
BD22_130;black;05.11.2022;4;0,84;1;JRG;2
BD22_068;black;23.10.2022;1;0,48;1;MJH;2
BD22_068;black;23.10.2022;2;0,48;3;MJH;2
BD22_068;black;23.10.2022;3;0,4;2;MJH;2
BD22_068;black;23.10.2022;4;0,8;2;MJH;2
BD22_071;barred;23.10.2022;1;0,64;2;MJH;2
BD22_071;barred;23.10.2022;2;0,84;3;MJH;2
BD22_071;barred;23.10.2022;3;1,4;2;MJH;2
BD22_071;barred;23.10.2022;4;0,56;2;MJH;2
BD22_072;barred;23.10.2022;1;3,32;5;MJH;2
BD22_072;barred;23.10.2022;2;3,04;6;MJH;2
BD22_072;barred;23.10.2022;3;0,44;2;MJH;2
BD22_072;barred;23.10.2022;4;0,56;2;MJH;2
BD22_122;barred;05.11.2022;1;0,56;3;MJH;2
BD22_122;barred;05.11.2022;2;1,36;3;MJH;2
BD22_122;barred;05.11.2022;3;NA;NA;MJH;2
BD22_122;barred;05.11.2022;4;NA;NA;MJH;2
BD22_130;black;05.11.2022;1;0,36;1;MJH;2
BD22_130;black;05.11.2022;2;0,44;2;MJH;2
BD22_130;black;05.11.2022;3;0,84;2;MJH;2
BD22_130;black;05.11.2022;4;0,24;1;MJH;2
